root,pos,common
minus,misc,True
minuto,N,True
miri,VI,True
moderna,A,False
moki,VT,False
mola,A,False
momento,N,False
mono,N,True
monato,N,True
mondo,N,True
monto,N,True
montri,VT,True
morgaŭ,misc,True
morti,VI,False
movi,VT,True
multa,A,True
muro,N,False
muŝo,N,False
muzeo,N,False
muziko,N,True
-n,suf,True
nacio,N,True
naĝi,VI,False
naski,VT,True
naturo,N,True
naŭ,misc,True
nazo,N,False
ne,misc,True
nebulo,N,False
necesa,A,True
neĝo,N,False
nek,misc,False
nenia,A,True
neniam,misc,True
nenie,misc,True
neniel,misc,True
nenio,N,True
nepo,N,False
nepre,misc,False
nevo,N,False
neŭtrala,A,False
ni,VT,True
nigra,A,False
nivelo,N,False
nokto,N,True
nomo,N,True
nombro,N,False
nordo,N,False
normala,A,False
noti,VT,False
nova,A,True
novembro,N,True
nu,misc,False
nubo,N,False
nulo,N,False
numero,N,True
nun,misc,True
nur,misc,True
-o,suf,True
obei,VT,False
objekto,N,False
-obl,suf,True
odori,VT,False
ofico,N,True
ofte,misc,True
ok,misc,True
okazi,VI,True
okcidento,N,False
oktobro,N,True
okulo,N,False
okupi,VT,True
ol,misc,True
oleo,N,False
-on,suf,True
oni,VT,True
onklo,N,False
-ont,suf,True
opinio,N,True
oro,N,False
ordo,N,False
ordinara,A,True
ordoni,VT,False
orelo,N,False
organizi,VT,True
oriento,N,False
originala,A,False
-os,suf,True
osto,N,False
-ot,suf,True
ovo,N,False
paco,N,False
pagi,VT,True
paĝo,N,True
pako,N,False
palpi,VT,False
pano,N,True
pantalono,N,False
papero,N,True
paro,N,False
pardoni,VT,True
parko,N,False
paroli,VI,True
parto,N,True
pasi,VT,False
paŝi,VI,False
patro,N,True
peco,N,True
peni,VI,False
pendi,VI,True
pensi,VI,True
pentri,VT,False
per,misc,True
perdi,VT,True
perfekta,A,False
periodo,N,False
permesi,VT,True
persono,N,True
peti,VT,True
pezi,VI,False
piedo,N,True
piki,VT,False
pilko,N,False
plaĉi,VI,True
plafono,N,False
plano,N,False
planko,N,False
planto,N,False
plasto,N,False
plej,misc,True
plena,A,True
plendi,VI,False
plezuro,N,True
pli,VT,True
plor,misc,False
plu,misc,True
plumo,N,False
pluraj,misc,True
plus,misc,False
pluvo,N,False
po,N,False
poemo,N,True
poento,N,False
poezio,N,False
polico,N,False
politiko,N,False
ponto,N,False
popolo,N,True
populara,A,False
por,misc,True
pordo,N,True
porti,VT,True
post,misc,True
postuli,VT,False
poŝo,N,False
poŝto,N,True
poto,N,False
povi,VT,True
praktiko,N,False
pravi,VT,False
precipe,misc,True
preciza,A,False
preferi,VT,True
preĝi,VI,False
prelegi,VT,False
premi,VT,False
premio,N,False
preni,VT,True
prepari,VT,True
presi,VT,True
preskaŭ,misc,True
preta,A,True
preter,misc,False
prezo,N,False
prezenti,VT,True
prezidi,VT,True
pri,VT,True
principo,N,False
printempo,N,True
pro,N,True
problemo,N,True
produkti,VT,True
profunda,A,False
programo,N,False
progresi,VI,False
projekto,N,False
proksima,A,True
promeni,VI,False
promesi,VT,False
proponi,VT,False
propra,A,True
provi,VT,True
prunte,misc,False
publiko,N,True
puni,VT,False
punkto,N,False
pupo,N,False
pura,A,True
puŝi,VT,False
rado,N,False
radio,N,True
rajto,N,True
rakonti,VT,True
rando,N,False
rango,N,False
rapida,A,True
raporti,VT,True
re-,pre,True
redakti,VT,True
regi,VT,False
regiono,N,True
regulo,N,True
reĝo,N,False
reklamo,N,False
rekomendi,VT,True
rekta,A,False
religio,N,False
renkonti,VT,True
respondi,VT,True
resti,VI,True
revuo,N,True
rezulti ,misc,False
ricevi,VT,True
riĉa,A,True
ridi,VI,True
rigardi,VT,True
rilati,VT,True
rimarki,VT,True
rimedo,N,False
ripeti,VT,True
ripozi,VI,False
rivero,N,True
rizo,N,False
robo,N,False
romano,N,False
rompi,VT,True
rondo,N,False
rozo,N,False
rubriko,N,False
ruĝa,A,False
rulo,N,False
sabato,N,True
saĝa,A,False
sako,N,False
salo,N,False
salono,N,True
salti,VI,False
saluti,VT,True
sana,A,True
sango,N,False
sankta,A,False
sata,A,False
savi,VT,False
scii,VT,True
scienco,N,True
se,misc,True
sed,misc,True
seĝo,N,True
seka,A,False
sekretario,N,False
sekso,N,False
sekvi,VT,True
semajno,N,True
sen,misc,True
senco,N,False
sendi,VT,True
senti,VT,True
sep,misc,True
septembro,N,True
serĉi,VT,True
serio,N,False
serioza,A,False
servi,VT,True
ses,misc,True
sezono,N,False
si,VT,True
sidi,VI,True
signo,N,False
signifi,VT,True
silenti,VI,False
simila,A,True
simpla,A,True
sinjoro,N,True
sistemo,N,False
situacio,N,True
skatolo,N,True
skribi,VT,True
socio,N,False
soifi,VTI,False
sola,A,True
soldato,N,False
solvi,VT,False
somero,N,True
soni,VI,True
speco,N,False
speciala,A,True
spegulo,N,False
sperta,A,True
spezo,N,False
spico,N,False
spiri,VT,False
spirito,N,False
sporto,N,True
stacio,N,True
stari,VI,True
stato,N,False
stelo,N,False
stranga,A,False
strato,N,True
streĉi,VT,False
studi,VT,True
stulta,A,False
sub,misc,True
subita,A,False
sudo,N,False
suferi,VTI,False
sufiĉa,A,True
sukcesi,VI,True
sukero,N,False
sumo,N,False
suno ,misc,True
super,misc,True
supozi,VT,False
supre,misc,True
sur,misc,True
ŝafo,N,False
ŝajni,VI,True
ŝanco,N,False
ŝanĝi,VT,True
ŝati,VT,True
ŝerci,VI,False
ŝi,VT,True
ŝipo,N,True
ŝiri,VT,False
ŝlosi,VT,False
ŝnuro,N,False
ŝranko,N,True
ŝtato,N,True
ŝteli,VT,False
ŝtofo,N,False
ŝtono,N,False
ŝtrumpo,N,False
ŝtupo,N,False
ŝuo,N,False
tablo,N,True
tabulo,N,False
tago,N,True
tamen,misc,True
taso,N,False
tasko,N,False
taŭgi,VI,False
teo,N,False
teatro,N,True
tegmento,N,False
teksto,N,False
telefono,N,True
telero,N,False
televido,N,True
temo,N,True
tempo,N,True
teni,VT,True
teorio,N,False
tero,N,True
teruro,N,False
tia,A,True
tial,misc,True
tiam,misc,True
tie,misc,True
tiel,misc,True
ties,misc,True
tiom,misc,True
timi,VT,True
tio,N,True
tiri,VT,False
tiu,misc,True
tondi,VT,False
tra,A,True
tradicio,N,False
traduki,VT,True
trafi,VT,False
trakti,VT,False
tranĉi,VT,True
trankvila,A,False
trans,misc,True
tre,misc,True
tri,VT,True
trinki,VT,True
tro,N,True
trovi,VT,True
truo,N,False
tuj,misc,True
tuko,N,False
turismo,N,False
turisto,N,False
turni,VT,False
tuŝi,VT,False
tuta,A,True
-u,suf,True
-uj,suf,True
-ul,suf,True
"-um
 ",suf,True
universala,A,True
